timestamp,BTC: Price,timestamp,BTC: aSOPR,timestamp,Signal Reached,timestamp,MVRV - 1,timestamp,All-time-Average,timestamp,Extreme Upside Deviation μ + 1σ,timestamp,Extreme Downside Deviation μ - 1σ,timestamp,-
,,2009-03-18T00:00:00.000Z,1,2009-03-18T00:00:00.000Z,0,2009-03-18T00:00:00.000Z,0,2009-03-18T00:00:00.000Z,0,2009-03-18T00:00:00.000Z,0,2009-03-18T00:00:00.000Z,0,2009-03-18T00:00:00.000Z,0.4
,,2009-03-20T00:00:00.000Z,1,2009-03-20T00:00:00.000Z,0,2009-03-20T00:00:00.000Z,0,2009-03-20T00:00:00.000Z,0,2009-03-20T00:00:00.000Z,0,2009-03-20T00:00:00.000Z,0,2009-03-20T00:00:00.000Z,0.4
,,2009-03-22T00:00:00.000Z,1,2009-03-22T00:00:00.000Z,0,2009-03-22T00:00:00.000Z,0,2009-03-22T00:00:00.000Z,0,2009-03-22T00:00:00.000Z,0,2009-03-22T00:00:00.000Z,0,2009-03-22T00:00:00.000Z,0.4
,,2009-03-26T00:00:00.000Z,1,2009-03-26T00:00:00.000Z,0,2009-03-26T00:00:00.000Z,0,2009-03-26T00:00:00.000Z,0,2009-03-26T00:00:00.000Z,0,2009-03-26T00:00:00.000Z,0,2009-03-26T00:00:00.000Z,0.4
,,2009-03-28T00:00:00.000Z,1,2009-03-28T00:00:00.000Z,0,2009-03-28T00:00:00.000Z,0,2009-03-28T00:00:00.000Z,0,2009-03-28T00:00:00.000Z,0,2009-03-28T00:00:00.000Z,0,2009-03-28T00:00:00.000Z,0.4
,,2009-03-31T00:00:00.000Z,1,2009-03-31T00:00:00.000Z,0,2009-03-31T00:00:00.000Z,0,2009-03-31T00:00:00.000Z,0,2009-03-31T00:00:00.000Z,0,2009-03-31T00:00:00.000Z,0,2009-03-31T00:00:00.000Z,0.4
,,2009-04-05T00:00:00.000Z,1,2009-04-05T00:00:00.000Z,0,2009-04-05T00:00:00.000Z,0,2009-04-05T00:00:00.000Z,0,2009-04-05T00:00:00.000Z,0,2009-04-05T00:00:00.000Z,0,2009-04-05T00:00:00.000Z,0.4
,,2009-04-11T00:00:00.000Z,1,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0.4
,,2009-04-12T00:00:00.000Z,1,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0.4
,,2009-04-13T00:00:00.000Z,1,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0.4
,,2009-04-18T00:00:00.000Z,1,2009-04-18T00:00:00.000Z,0,2009-04-18T00:00:00.000Z,0,2009-04-18T00:00:00.000Z,0,2009-04-18T00:00:00.000Z,0,2009-04-18T00:00:00.000Z,0,2009-04-18T00:00:00.000Z,0.4
,,2009-04-19T00:00:00.000Z,1,2009-04-19T00:00:00.000Z,0,2009-04-19T00:00:00.000Z,0,2009-04-19T00:00:00.000Z,0,2009-04-19T00:00:00.000Z,0,2009-04-19T00:00:00.000Z,0,2009-04-19T00:00:00.000Z,0.4
,,2009-04-20T00:00:00.000Z,1,2009-04-20T00:00:00.000Z,0,2009-04-20T00:00:00.000Z,0,2009-04-20T00:00:00.000Z,0,2009-04-20T00:00:00.000Z,0,2009-04-20T00:00:00.000Z,0,2009-04-20T00:00:00.000Z,0.4
,,2009-04-21T00:00:00.000Z,1,2009-04-21T00:00:00.000Z,0,2009-04-21T00:00:00.000Z,0,2009-04-21T00:00:00.000Z,0,2009-04-21T00:00:00.000Z,0,2009-04-21T00:00:00.000Z,0,2009-04-21T00:00:00.000Z,0.4
,,2009-04-26T00:00:00.000Z,1,2009-04-26T00:00:00.000Z,0,2009-04-26T00:00:00.000Z,0,2009-04-26T00:00:00.000Z,0,2009-04-26T00:00:00.000Z,0,2009-04-26T00:00:00.000Z,0,2009-04-26T00:00:00.000Z,0.4
,,2009-04-29T00:00:00.000Z,1,2009-04-29T00:00:00.000Z,0,2009-04-29T00:00:00.000Z,0,2009-04-29T00:00:00.000Z,0,2009-04-29T00:00:00.000Z,0,2009-04-29T00:00:00.000Z,0,2009-04-29T00:00:00.000Z,0.4
,,2009-05-02T00:00:00.000Z,1,2009-05-02T00:00:00.000Z,0,2009-05-02T00:00:00.000Z,0,2009-05-02T00:00:00.000Z,0,2009-05-02T00:00:00.000Z,0,2009-05-02T00:00:00.000Z,0,2009-05-02T00:00:00.000Z,0.4
,,2009-05-03T00:00:00.000Z,1,2009-05-03T00:00:00.000Z,0,2009-05-03T00:00:00.000Z,0,2009-05-03T00:00:00.000Z,0,2009-05-03T00:00:00.000Z,0,2009-05-03T00:00:00.000Z,0,2009-05-03T00:00:00.000Z,0.4
,,2009-05-04T00:00:00.000Z,1,2009-05-04T00:00:00.000Z,0,2009-05-04T00:00:00.000Z,0,2009-05-04T00:00:00.000Z,0,2009-05-04T00:00:00.000Z,0,2009-05-04T00:00:00.000Z,0,2009-05-04T00:00:00.000Z,0.4
,,2009-05-05T00:00:00.000Z,1,2009-05-05T00:00:00.000Z,0,2009-05-05T00:00:00.000Z,0,2009-05-05T00:00:00.000Z,0,2009-05-05T00:00:00.000Z,0,2009-05-05T00:00:00.000Z,0,2009-05-05T00:00:00.000Z,0.4
,,2009-05-11T00:00:00.000Z,1,2009-05-11T00:00:00.000Z,0,2009-05-11T00:00:00.000Z,0,2009-05-11T00:00:00.000Z,0,2009-05-11T00:00:00.000Z,0,2009-05-11T00:00:00.000Z,0,2009-05-11T00:00:00.000Z,0.4
,,2009-05-13T00:00:00.000Z,1,2009-05-13T00:00:00.000Z,0,2009-05-13T00:00:00.000Z,0,2009-05-13T00:00:00.000Z,0,2009-05-13T00:00:00.000Z,0,2009-05-13T00:00:00.000Z,0,2009-05-13T00:00:00.000Z,0.4
,,2009-05-14T00:00:00.000Z,1,2009-05-14T00:00:00.000Z,0,2009-05-14T00:00:00.000Z,0,2009-05-14T00:00:00.000Z,0,2009-05-14T00:00:00.000Z,0,2009-05-14T00:00:00.000Z,0,2009-05-14T00:00:00.000Z,0.4
,,2009-05-15T00:00:00.000Z,1,2009-05-15T00:00:00.000Z,0,2009-05-15T00:00:00.000Z,0,2009-05-15T00:00:00.000Z,0,2009-05-15T00:00:00.000Z,0,2009-05-15T00:00:00.000Z,0,2009-05-15T00:00:00.000Z,0.4
,,2009-05-29T00:00:00.000Z,1,2009-05-29T00:00:00.000Z,0,2009-05-29T00:00:00.000Z,0,2009-05-29T00:00:00.000Z,0,2009-05-29T00:00:00.000Z,0,2009-05-29T00:00:00.000Z,0,2009-05-29T00:00:00.000Z,0.4
,,2009-06-01T00:00:00.000Z,1,2009-06-01T00:00:00.000Z,0,2009-06-01T00:00:00.000Z,0,2009-06-01T00:00:00.000Z,0,2009-06-01T00:00:00.000Z,0,2009-06-01T00:00:00.000Z,0,2009-06-01T00:00:00.000Z,0.4
,,2009-06-22T00:00:00.000Z,1,2009-06-22T00:00:00.000Z,0,2009-06-22T00:00:00.000Z,0,2009-06-22T00:00:00.000Z,0,2009-06-22T00:00:00.000Z,0,2009-06-22T00:00:00.000Z,0,2009-06-22T00:00:00.000Z,0.4
,,2009-06-24T00:00:00.000Z,1,2009-06-24T00:00:00.000Z,0,2009-06-24T00:00:00.000Z,0,2009-06-24T00:00:00.000Z,0,2009-06-24T00:00:00.000Z,0,2009-06-24T00:00:00.000Z,0,2009-06-24T00:00:00.000Z,0.4
,,2009-06-25T00:00:00.000Z,1,2009-06-25T00:00:00.000Z,0,2009-06-25T00:00:00.000Z,0,2009-06-25T00:00:00.000Z,0,2009-06-25T00:00:00.000Z,0,2009-06-25T00:00:00.000Z,0,2009-06-25T00:00:00.000Z,0.4
,,2009-06-28T00:00:00.000Z,1,2009-06-28T00:00:00.000Z,0,2009-06-28T00:00:00.000Z,0,2009-06-28T00:00:00.000Z,0,2009-06-28T00:00:00.000Z,0,2009-06-28T00:00:00.000Z,0,2009-06-28T00:00:00.000Z,0.4
,,2009-06-29T00:00:00.000Z,1,2009-06-29T00:00:00.000Z,0,2009-06-29T00:00:00.000Z,0,2009-06-29T00:00:00.000Z,0,2009-06-29T00:00:00.000Z,0,2009-06-29T00:00:00.000Z,0,2009-06-29T00:00:00.000Z,0.4
,,2009-06-30T00:00:00.000Z,1,2009-06-30T00:00:00.000Z,0,2009-06-30T00:00:00.000Z,0,2009-06-30T00:00:00.000Z,0,2009-06-30T00:00:00.000Z,0,2009-06-30T00:00:00.000Z,0,2009-06-30T00:00:00.000Z,0.4
,,2009-07-01T00:00:00.000Z,1,2009-07-01T00:00:00.000Z,0,2009-07-01T00:00:00.000Z,0,2009-07-01T00:00:00.000Z,0,2009-07-01T00:00:00.000Z,0,2009-07-01T00:00:00.000Z,0,2009-07-01T00:00:00.000Z,0.4
,,2009-07-02T00:00:00.000Z,1,2009-07-02T00:00:00.000Z,0,2009-07-02T00:00:00.000Z,0,2009-07-02T00:00:00.000Z,0,2009-07-02T00:00:00.000Z,0,2009-07-02T00:00:00.000Z,0,2009-07-02T00:00:00.000Z,0.4
,,2009-07-20T00:00:00.000Z,1,2009-07-20T00:00:00.000Z,0,2009-07-20T00:00:00.000Z,0,2009-07-20T00:00:00.000Z,0,2009-07-20T00:00:00.000Z,0,2009-07-20T00:00:00.000Z,0,2009-07-20T00:00:00.000Z,0.4
,,2009-07-29T00:00:00.000Z,1,2009-07-29T00:00:00.000Z,0,2009-07-29T00:00:00.000Z,0,2009-07-29T00:00:00.000Z,0,2009-07-29T00:00:00.000Z,0,2009-07-29T00:00:00.000Z,0,2009-07-29T00:00:00.000Z,0.4
,,2009-07-30T00:00:00.000Z,1,2009-07-30T00:00:00.000Z,0,2009-07-30T00:00:00.000Z,0,2009-07-30T00:00:00.000Z,0,2009-07-30T00:00:00.000Z,0,2009-07-30T00:00:00.000Z,0,2009-07-30T00:00:00.000Z,0.4
,,2009-08-07T00:00:00.000Z,1,2009-08-07T00:00:00.000Z,0,2009-08-07T00:00:00.000Z,0,2009-08-07T00:00:00.000Z,0,2009-08-07T00:00:00.000Z,0,2009-08-07T00:00:00.000Z,0,2009-08-07T00:00:00.000Z,0.4
,,2009-08-26T00:00:00.000Z,1,2009-08-26T00:00:00.000Z,0,2009-08-26T00:00:00.000Z,0,2009-08-26T00:00:00.000Z,0,2009-08-26T00:00:00.000Z,0,2009-08-26T00:00:00.000Z,0,2009-08-26T00:00:00.000Z,0.4
,,2009-08-30T00:00:00.000Z,1,2009-08-30T00:00:00.000Z,0,2009-08-30T00:00:00.000Z,0,2009-08-30T00:00:00.000Z,0,2009-08-30T00:00:00.000Z,0,2009-08-30T00:00:00.000Z,0,2009-08-30T00:00:00.000Z,0.4
,,2009-08-31T00:00:00.000Z,1,2009-08-31T00:00:00.000Z,0,2009-08-31T00:00:00.000Z,0,2009-08-31T00:00:00.000Z,0,2009-08-31T00:00:00.000Z,0,2009-08-31T00:00:00.000Z,0,2009-08-31T00:00:00.000Z,0.4
,,2009-09-03T00:00:00.000Z,1,2009-09-03T00:00:00.000Z,0,2009-09-03T00:00:00.000Z,0,2009-09-03T00:00:00.000Z,0,2009-09-03T00:00:00.000Z,0,2009-09-03T00:00:00.000Z,0,2009-09-03T00:00:00.000Z,0.4
,,2009-09-07T00:00:00.000Z,1,2009-09-07T00:00:00.000Z,0,2009-09-07T00:00:00.000Z,0,2009-09-07T00:00:00.000Z,0,2009-09-07T00:00:00.000Z,0,2009-09-07T00:00:00.000Z,0,2009-09-07T00:00:00.000Z,0.4
,,2009-09-16T00:00:00.000Z,1,2009-09-16T00:00:00.000Z,0,2009-09-16T00:00:00.000Z,0,2009-09-16T00:00:00.000Z,0,2009-09-16T00:00:00.000Z,0,2009-09-16T00:00:00.000Z,0,2009-09-16T00:00:00.000Z,0.4
,,2009-09-17T00:00:00.000Z,1,2009-09-17T00:00:00.000Z,0,2009-09-17T00:00:00.000Z,0,2009-09-17T00:00:00.000Z,0,2009-09-17T00:00:00.000Z,0,2009-09-17T00:00:00.000Z,0,2009-09-17T00:00:00.000Z,0.4
,,2009-09-21T00:00:00.000Z,1,2009-09-21T00:00:00.000Z,0,2009-09-21T00:00:00.000Z,0,2009-09-21T00:00:00.000Z,0,2009-09-21T00:00:00.000Z,0,2009-09-21T00:00:00.000Z,0,2009-09-21T00:00:00.000Z,0.4
,,2009-09-22T00:00:00.000Z,1,2009-09-22T00:00:00.000Z,0,2009-09-22T00:00:00.000Z,0,2009-09-22T00:00:00.000Z,0,2009-09-22T00:00:00.000Z,0,2009-09-22T00:00:00.000Z,0,2009-09-22T00:00:00.000Z,0.4
,,2009-09-25T00:00:00.000Z,1,2009-09-25T00:00:00.000Z,0,2009-09-25T00:00:00.000Z,0,2009-09-25T00:00:00.000Z,0,2009-09-25T00:00:00.000Z,0,2009-09-25T00:00:00.000Z,0,2009-09-25T00:00:00.000Z,0.4
,,2009-09-27T00:00:00.000Z,1,2009-09-27T00:00:00.000Z,0,2009-09-27T00:00:00.000Z,0,2009-09-27T00:00:00.000Z,0,2009-09-27T00:00:00.000Z,0,2009-09-27T00:00:00.000Z,0,2009-09-27T00:00:00.000Z,0.4
,,2009-09-29T00:00:00.000Z,1,2009-09-29T00:00:00.000Z,0,2009-09-29T00:00:00.000Z,0,2009-09-29T00:00:00.000Z,0,2009-09-29T00:00:00.000Z,0,2009-09-29T00:00:00.000Z,0,2009-09-29T00:00:00.000Z,0.4
,,2009-10-02T00:00:00.000Z,1,2009-10-02T00:00:00.000Z,0,2009-10-02T00:00:00.000Z,0,2009-10-02T00:00:00.000Z,0,2009-10-02T00:00:00.000Z,0,2009-10-02T00:00:00.000Z,0,2009-10-02T00:00:00.000Z,0.4
,,2009-10-06T00:00:00.000Z,1,2009-10-06T00:00:00.000Z,0,2009-10-06T00:00:00.000Z,0,2009-10-06T00:00:00.000Z,0,2009-10-06T00:00:00.000Z,0,2009-10-06T00:00:00.000Z,0,2009-10-06T00:00:00.000Z,0.4
,,2009-10-12T00:00:00.000Z,1,2009-10-12T00:00:00.000Z,0,2009-10-12T00:00:00.000Z,0,2009-10-12T00:00:00.000Z,0,2009-10-12T00:00:00.000Z,0,2009-10-12T00:00:00.000Z,0,2009-10-12T00:00:00.000Z,0.4
,,2009-10-16T00:00:00.000Z,1,2009-10-16T00:00:00.000Z,0,2009-10-16T00:00:00.000Z,0,2009-10-16T00:00:00.000Z,0,2009-10-16T00:00:00.000Z,0,2009-10-16T00:00:00.000Z,0,2009-10-16T00:00:00.000Z,0.4
,,2009-10-18T00:00:00.000Z,1,2009-10-18T00:00:00.000Z,0,2009-10-18T00:00:00.000Z,0,2009-10-18T00:00:00.000Z,0,2009-10-18T00:00:00.000Z,0,2009-10-18T00:00:00.000Z,0,2009-10-18T00:00:00.000Z,0.4
,,2009-10-20T00:00:00.000Z,1,2009-10-20T00:00:00.000Z,0,2009-10-20T00:00:00.000Z,0,2009-10-20T00:00:00.000Z,0,2009-10-20T00:00:00.000Z,0,2009-10-20T00:00:00.000Z,0,2009-10-20T00:00:00.000Z,0.4
,,2009-10-21T00:00:00.000Z,1,2009-10-21T00:00:00.000Z,0,2009-10-21T00:00:00.000Z,0,2009-10-21T00:00:00.000Z,0,2009-10-21T00:00:00.000Z,0,2009-10-21T00:00:00.000Z,0,2009-10-21T00:00:00.000Z,0.4
,,2009-10-22T00:00:00.000Z,1,2009-10-22T00:00:00.000Z,0,2009-10-22T00:00:00.000Z,0,2009-10-22T00:00:00.000Z,0,2009-10-22T00:00:00.000Z,0,2009-10-22T00:00:00.000Z,0,2009-10-22T00:00:00.000Z,0.4
,,2009-10-24T00:00:00.000Z,1,2009-10-24T00:00:00.000Z,0,2009-10-24T00:00:00.000Z,0,2009-10-24T00:00:00.000Z,0,2009-10-24T00:00:00.000Z,0,2009-10-24T00:00:00.000Z,0,2009-10-24T00:00:00.000Z,0.4
,,2009-10-27T00:00:00.000Z,1,2009-10-27T00:00:00.000Z,0,2009-10-27T00:00:00.000Z,0,2009-10-27T00:00:00.000Z,0,2009-10-27T00:00:00.000Z,0,2009-10-27T00:00:00.000Z,0,2009-10-27T00:00:00.000Z,0.4
,,2009-10-29T00:00:00.000Z,1,2009-10-29T00:00:00.000Z,0,2009-10-29T00:00:00.000Z,0,2009-10-29T00:00:00.000Z,0,2009-10-29T00:00:00.000Z,0,2009-10-29T00:00:00.000Z,0,2009-10-29T00:00:00.000Z,0.4
,,2009-11-04T00:00:00.000Z,1,2009-11-04T00:00:00.000Z,0,2009-11-04T00:00:00.000Z,0,2009-11-04T00:00:00.000Z,0,2009-11-04T00:00:00.000Z,0,2009-11-04T00:00:00.000Z,0,2009-11-04T00:00:00.000Z,0.4
,,2009-11-11T00:00:00.000Z,1,2009-11-11T00:00:00.000Z,0,2009-11-11T00:00:00.000Z,0,2009-11-11T00:00:00.000Z,0,2009-11-11T00:00:00.000Z,0,2009-11-11T00:00:00.000Z,0,2009-11-11T00:00:00.000Z,0.4
